food,category,iron_mg,protein_g,vitamin_c_mg,fiber_g,budget,diet_tags,notes
rice,staple,0.2,2.7,0,0.4,low,"rice-based,vegetarian","Common energy staple; pair with dal, vegetables, and protein."
roti,staple,1.2,3.1,0,2.7,low,"vegetarian","Whole wheat roti adds fiber compared with refined snacks."
lentils,legume,3.3,9.0,1.5,7.9,low,"rice-based,vegetarian","Iron and protein source; pair with lemon or guava for vitamin C."
spinach,vegetable,2.7,2.9,28,2.2,low,"rice-based,vegetarian","Iron-rich leafy vegetable; wash and cook safely."
small fish,fish,1.4,18.0,0,0,low,"rice-based,fish","Protein and minerals; choose well-cooked small fish when acceptable."
egg,protein,1.2,6.3,0,0,low,"egg,vegetarian-avoid","Affordable protein; cook fully."
chicken,protein,0.9,27.0,0,0,medium,"chicken","Lean protein; cook fully."
liver,protein,6.5,20.4,1,0,medium,"fish/chicken/egg allowed","Iron-rich but should be limited and discussed with a clinician."
guava,fruit,0.3,2.6,228,5.4,low,"vegetarian","Vitamin C source that helps iron absorption."
lemon,fruit,0.1,1.1,53,2.8,low,"vegetarian","Vitamin C source; squeeze on dal or vegetables."
banana,fruit,0.3,1.1,9,2.6,low,"vegetarian","Bland snack option during nausea and low appetite."
papaya ripe,fruit,0.3,0.5,61,1.7,medium,"vegetarian","Use ripe papaya only; avoid unripe papaya in pregnancy."
mixed vegetables,vegetable,0.8,2.0,20,3.0,low,"rice-based,vegetarian","Fiber and micronutrients; cook with modest oil and salt."
water,fluid,0,0,0,0,low,"all","Hydration support, especially for constipation and vomiting."
